"24", 1100, 2434, 1482, 2886
"23", 1482, 2434, 1828, 2886
"22", 1828, 2434, 2188, 2886
"21", 2188, 2434, 2536, 2886
"20", 2536, 2434, 2932, 2886
"19", 888.984375, 1981, 1287.984375, 2434
"18", 1286.984375, 1981, 1709.984375, 2434
"17", 1709.984375, 1981, 2106.984375, 2434
"16", 2106.984375, 1981, 2505.984375, 2434
"15", 2505.984375, 1981, 2930.984375, 2434
"14", 887, 1528.0078125, 1286.9765625, 1981.0078125
"13", 1286.9765625, 1528.0078125, 1711.9765625, 1981.0078125
"12", 1712.9765625, 1528.0078125, 2107.9765625, 1981.0078125
"11", 2106.984375, 1528.0078125, 2505.984375, 1981.0078125
"10", 2505.984375, 1528.0078125, 2930.984375, 1981.0078125
"9", 886.9921875, 1075.0078125, 1286.96875, 1528.0078125
"8", 1287.9921875, 1075.0078125, 1713.9921875, 1528.0078125
"7", 1712.9765625, 1075.0078125, 2111.9765625, 1528.0078125
"6", 2111.9765625, 1075.0078125, 2505.9765625, 1528.0078125
"5", 2505.984375, 1075.0078125, 2930.984375, 1528.0078125
"4", 1287.984375, 638.0078125, 1713.984375, 1075.0078125
"3", 1713.984375, 637.0078125, 2112.984375, 1075.0078125
"2", 2111.9765625, 639.0078125, 2506.9765625, 1075.0078125
"1", 2506.9765625, 656.0078125, 2913.9765625, 1075.0078125

INSERT INTO Turfs (turf_id, turf_name, turf_number, owner, attacked, minX, minY, maxX, maxY, poiX, poiY, poiZ) VALUES 
(24, 'Bratva I LV', 24, 'RDT', 'false', 1100, 2434, 1482, 2886, 0, 0, 0);
